index	en	ko
1316	prevent	예방하다
1317	proof	증거
1318	pure	순수한
1319	real	진짜의
1320	register	등록하다
1321	resemble	닮다
1322	rocket	로켓
1323	rule	규칙
1324	scan	훑어보다
1325	search	검색하다
1326	sequence	순서
1327	shave	면도하다
1328	site	현장, 장소
1329	ski	스키 타다
1330	soak	적시다
1331	source	근원, 출처
1332	spoil	망치다
1333	stable	안정적인
1334	stake	말뚝, 지분
1335	storm	폭풍
1336	student	학생
1337	superior	우수한
1338	symbol	상징
1339	temple	사원
1340	therapy	치료
1341	thumb	엄지손가락
1342	toss	던지다
1343	treasure	보물
1344	unique	독특한
1345	van	승합차
1346	victory	승리
1347	vocation	천직
1348	welfare	복지
1349	wing	날개
1350	zero	0
1351	message	메시지
1352	close	가까운, 근접한
1353	mad	화난
1354	worried	걱정하는
1355	both	양쪽의
1356	ride	타다
1357	tomorrow	내일
1358	speak	말하다
1359	corner	모퉁이
1360	project	프로젝트
1361	enjoy	즐기다
1362	siblings	형제자매
1363	ship	배
1364	nail	손톱
1365	upset	속상한
1366	calendar	달력
1367	seat belt	안전벨트
1368	reason	이유
1369	think	생각하다
1370	restaurant	식당
1371	easygoing	낙천적인
1372	cost	비용
1373	agree	동의하다
1374	something	무언가, 어떤 것
1375	laugh	웃다
1376	sweet	달콤한
1377	bloat	부풀다
1378	laptop	노트북
1379	cramp	경련
1380	stomachache	복통
1381	appetite	식욕
1382	photo	사진
1383	pork	돼지고기
1384	pay	지불하다
1385	glasses	안경
1386	prize	상
1387	address	주소
1388	between	~사이에
1389	full	가득 찬
1390	politics	정치
1391	read	읽다
1392	noise	소음
1393	stuff	물건
1394	age	나이
1395	rough	거친
1396	obey	복종하다
1397	do	하다
1398	midnight	자정
1399	crowded	붐비는
1400	toast	토스트
1401	chase	쫓다
1402	reservation	예약
1403	pleasure	즐거움
1404	half	절반
1405	save	저축하다, 구하다
1406	summer	여름
1407	relief	안도
1408	wonderful	놀라운
1409	street	거리
1410	delay	지연
1411	twice	두 번
1412	deadline	마감일
1413	deserve	~할 자격이 있다
1414	soap	비누
1415	clever	영리한
1416	go	가다
1417	museum	박물관
1418	sink	싱크대, 가라앉다
1419	stove	스토브
1420	tour	여행
1421	write	쓰다
1422	across	가로질러
1423	advice	조언, 충고
1424	ambulance	구급차
1425	disappear	사라지다
1426	attach	첨부하다
1427	award	상
1428	belief	믿음
1429	blank	빈칸
1430	boundary	경계
1431	career	경력
1432	chaos	혼란
1433	chop	자르다
1434	clue	단서
1435	compare	비교하다
1436	costume	의상
1437	cross	건너다
1438	desire	욕망
1439	dozen	12개짜리 한 묶음
1440	edit	편집하다
1441	erase	지우다
1442	express	표현하다
1443	filter	필터
1444	fist	주먹
1445	genius	천재
1446	hall	홀, 회관, 강당
1447	hole	구멍, 구덩이
1448	increase	증가하다
1449	island	섬
1450	joke	농담
1451	ladder	사다리
1452	leisure	여가
1453	loan	대출
1454	major	주요한, 전공
1455	mayor	시장
1456	microphone	마이크
1457	modern	현대의
1458	neat	깔끔한
1459	nowadays	요즘
1460	output	출력
1461	passion	열정
1462	pepper	후추
1463	pill	알약
1464	poem	시
1465	poor	가난한
1466	previous	이전의
1467	proper	적절한
1468	purpose	목적
1469	receive	받다
1470	regret	후회하다
1471	resort	리조트
1472	roll	구르다
1473	rumor	소문
1474	scarf	스카프
1475	section	부분
1476	series	시리즈
1477	sheet	시트, 장
1478	sign	표지판, 서명하다
1479	skill	기술
1480	social	사회적인
1481	spaghetti	스파게티
1482	sponsor	후원자
1483	staff	직원
1484	steel	강철
1485	strange	이상한
1486	subject	주제, 과목
1487	supply	공급하다
1488	sympathy	동정심
1489	temporary	임시의
1490	thief	도둑
1491	tiny	아주 작은
1492	towards	~를 향하여
1493	trend	경향
1494	unit	단위
1495	various	다양한
1496	view	견해, 경치
1497	volume	부피, 음량
1498	whale	고래
1499	wire	철사, 전선
1500	zone	지역, 구역
